id_transaksi,tanggal_pencairan,provinsi,jenis_pinjaman,status_peminjam,jumlah_pinjaman,total_pengembalian,durasi_hari,porsi_pengembalian_lender,sektor_usaha,pendidikan,jenis_jaminan,status_gagal_bayar
1,2023-08-01,Jawa Barat,Modal_Usaha,Peminjam_Berulang,959000.0,959000.0,7.0,287000.0,Digital,D3,Sertifikat,0
2,2023-08-12,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,55000.0,55000.0,7.0,16000.0,Kuliner,S2,SK_Pegawai,0
3,2023-08-05,Jawa Barat,Modal_Usaha,Peminjam_Berulang,655000.0,666000.0,7.0,199000.0,Digital,SMA,Sertifikat,0
4,2025-10-28,Jawa Tengah,Mikro_UKM,Peminjam_Berulang,611000.0,632000.0,7.0,126000.0,Kuliner,S1,BPKB,0
5,2023-09-09,Jawa Timur,Modal_Usaha,Peminjam_Berulang,573000.0,573000.0,7.0,127000.0,Perdagangan,S2,Tanpa_Jaminan,0
6,2023-08-10,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,946000.0,969000.0,7.0,290000.0,Pertanian,SMA,BPKB,0
7,2023-10-07,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,499000.0,499000.0,7.0,76000.0,Perdagangan,D3,Tanpa_Jaminan,0
8,2023-11-21,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,777000.0,796000.0,7.0,0.0,Perdagangan,SMA,BPKB,0
9,2023-10-19,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,655000.0,671000.0,7.0,201000.0,Digital,SMA,SK_Pegawai,0
10,2023-09-22,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,1091000.0,1091000.0,7.0,327000.0,Pertanian,D3,SK_Pegawai,0
11,2024-06-08,Jawa Tengah,Multiguna,Peminjam_Berulang,35295000.0,38842000.0,90.0,7768000.0,Kuliner,D3,SK_Pegawai,0
12,2023-11-22,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,602000.0,,7.0,0.0,Digital,SMA,Sertifikat,0
13,2023-11-10,Jawa Tengah,Modal_Usaha,Peminjam_Berulang,569000.0,580000.0,7.0,0.0,Digital,S1,SK_Pegawai,0
14,2023-08-19,Jawa Barat,Modal_Usaha,Peminjam_Berulang,1385000.0,1410000.0,7.0,423000.0,Kuliner,SMA,Sertifikat,0
15,2023-11-10,DKI Jakarta,Modal_Usaha,Peminjam_Berulang,5063000.0,5063000.0,7.0,1481000.0,Manufaktur,S1,Sertifikat,0
16,2023-09-01,Jawa Timur,Modal_Usaha,Peminjam_Berulang,279000.0,289000.0,7.0,86000.0,Digital,S1,SK_Pegawai,0
